Time,LHYm,P97m,P51m,ELm
0,1.015519256014862,0.5726074077444778,0.45870985201807235,3.6128096767345392e-06
1,0.9870984668398077,0.7057909491178247,0.40114932864602765,1.4325870817052294e-06
2,0.8692556246542422,1.8044982007345653,0.3505697618852994,0.1159381592697301
3,0.6960124483999893,2.3516921466950125,0.32036055173518996,0.16069513992332313
4,0.5429224996667348,2.702445097260105,0.32911848171172275,0.20485684316342648
5,0.41968911058821295,2.8147282876723345,0.3823671381646524,0.2733737592269336
6,0.32353087567245425,2.641717416047296,0.48246327912803366,0.37650395839557643
7,0.24991808784614022,2.286885475740669,0.6262237659284815,0.5064250505066287
8,0.19421087073138485,1.8587154153355743,0.7995075264582401,0.6227212837151013
9,0.15250136452663335,1.4482669332400382,0.9766511544613888,0.6762997631682602
10,0.12158852162101826,1.0971514511084919,1.1294314120972166,0.6664490747238562
11,0.09921580222598014,0.8174134387463721,1.2401443197588171,0.6290599165720946
12,0.09158707366251653,0.6163601398578451,1.3079430529418277,0.24944202157646256
13,0.09198208250584247,0.4878596964442529,1.3355997500431427,0.09891158529087987
14,0.10258233348558812,0.41104705060721664,1.3364344606651406,0.03922157418577044
15,0.12647137523598448,0.36598178159282196,1.3238225532930166,0.01555260156922838
16,0.16716360811733574,0.33880819260492157,1.304122940426593,0.006167097510070299
17,0.22771660383302036,0.3221428430700634,1.2764882983236117,0.0024454458494184983
18,0.3095895269938803,0.3126614622476235,1.2343940317919906,0.0009696967580330676
19,0.41161525880146665,0.30932330686561793,1.1688404034245947,0.00038451534925144606
20,0.5294277161006049,0.3126774083347353,1.074200967007708,0.0001524721083213043
21,0.6553380362812279,0.32468805539784906,0.9540452877238619,6.045980376940942e-05
22,0.7784068940317261,0.3486729341062075,0.8212897930110599,2.397421739274308e-05
23,0.8848986914699983,0.38917426449295484,0.6920509784122681,9.506509508259642e-06
24,0.9601518232944658,0.45158709041971473,0.5791223284936907,3.7696191269548403e-06
25,0.9926730853315784,0.5412253707103765,0.48949798132402245,1.4947692538647669e-06
26,0.9315940214294851,1.3722944538676893,0.4051978758945249,0.12104549416880421
27,0.7679550265637642,1.812987773345967,0.34470072580360345,0.15634187770595773
28,0.609053007525086,2.135466123573565,0.3273816469232902,0.18719563829063376
29,0.4763112511481562,2.3338534526580283,0.35592450478908366,0.2388858199547561
30,0.37007740188275606,2.279789275805022,0.4311727737373338,0.32242211707158386
31,0.28776473335761477,2.061075626330554,0.5519243040806391,0.43844340072877863
32,0.22481222936942669,1.725985135450139,0.7095043674544976,0.5637401097431856
33,0.1772451034601789,1.3658356563253484,0.8841152872715291,0.6499693871819336
34,0.1418159564673889,1.0424957315390664,1.048619642529665,0.6699258306197132
35,0.11640805729994176,0.7833171099815224,1.179703514152735,0.6448297638721165
36,0.10816091778230989,0.5956920549173854,1.2706794839726538,0.2556952615093024
37,0.10915006433621509,0.47693976558081286,1.3164600857289286,0.10139119138962568
38,0.12167938230249965,0.4070662797593386,1.3268816894950257,0.040204816880629435
39,0.14878945554910708,0.3663008238259604,1.3168184259308893,0.01594248806491507
40,0.19362972411823268,0.34141643724540116,1.2947490041409861,0.006321699849419725
41,0.25852827002075907,0.32594635029683616,1.2611910731944125,0.002506750474510156
42,0.3439734254035837,0.31736504173094165,1.2106129969113388,0.000994005963915829
43,0.447805906468292,0.3152236021120664,1.1357590784019749,0.000394154607455716
44,0.5648099429335784,0.3205036573955261,1.0339166649176668,0.0001562936842292447
45,0.6866141734577474,0.3354860801156938,0.9113548736374967,6.197521420202418e-05
46,0.801791514637125,0.36370152236437614,0.7816428144231432,2.4575110204910106e-05
47,0.8966189038395083,0.40976461458916147,0.6594481550572617,9.744768429648048e-06
