Time,LHYm,P97m,P51m,ELm
0,0.9592982940041878,1.0311247766062497,0.3070961255076847,3.429356237627046e-06
1,0.842718083457689,1.2550135844194377,0.3107327423436008,1.3598466751202822e-06
2,0.6768758133739136,2.3482140595812035,0.319628319445314,0.1364412902424251
3,0.5251501961506494,2.4093768267060156,0.34458792990049664,0.21222345217589766
4,0.40439870577295267,2.2008084476556364,0.4061572916784027,0.2939726170872814
5,0.31160894533505157,1.8785038504135956,0.511687755268664,0.4044995581930061
6,0.24145128136619443,1.5185667691529046,0.6585109225349817,0.5357355183469615
7,0.18925066480930314,1.1833355160595758,0.8309893770629304,0.642737102693714
8,0.1513839210685487,0.9041603856793422,1.0022917333247294,0.6815110049698954
9,0.1252658814275403,0.686470983545146,1.145163586674827,0.6619453815144728
10,0.10928317797270112,0.5229166944911514,1.244567429647954,0.6216707368518541
11,0.10276806984490228,0.40267027575742403,1.301202604177167,0.5853791532436411
12,0.1154737771327598,0.32054055405308746,1.3252856100634354,0.23212122649577652
13,0.14561813336878787,0.27602532413944636,1.3235665440434936,0.09204335127402294
14,0.19952709582151337,0.25911749972341275,1.3031767871391284,0.03649810183396824
15,0.2827187333405689,0.2581783033182901,1.2651004320566817,0.014472659477701879
16,0.39658769483196654,0.2650957706510635,1.2016700152744753,0.005738866239053482
17,0.5360735975077328,0.27702421750446826,1.1031548324175977,0.002275641235818486
18,0.6897791272056842,0.29524416558075417,0.9701847006226051,0.0009023636333017905
19,0.8415834270403318,0.32382956780766975,0.8189635613086311,0.00035781601269443654
20,0.9723739210261677,0.36880990382126666,0.6719010985563469,0.00014188533064087686
21,1.0627781077082838,0.4374875260715389,0.5457905027954282,5.6261945357548674e-05
22,1.0985707537634297,0.5372652881558655,0.44821892658792195,2.2309623009126272e-05
23,1.0769253580233749,0.6734114404004226,0.38014774184749445,8.846455565870514e-06
24,1.0080094402688977,0.8459216479694597,0.3395814785813001,3.507889246526154e-06
25,0.9095835298197138,1.0466207223434651,0.3241012377152487,1.3909885126582223e-06
26,0.7452846320088263,2.037569724841637,0.31495162665580084,0.12380842615607038
27,0.5827817144977837,2.150675670980569,0.3229401791970465,0.18706091776355632
28,0.4508932436761303,2.038748413455263,0.3672573477480581,0.2544592612659597
29,0.3486168010849899,1.8110927541827477,0.4551492355621333,0.34994671602218397
30,0.27078031537632785,1.5138184541995763,0.5866494665849444,0.4749776710489731
31,0.21250444951446923,1.2074659231050073,0.7511147455885377,0.5986717561396268
32,0.1698903204014491,0.9358921620394602,0.925686040547822,0.6691669260750266
33,0.14008461122757918,0.7162326250580945,1.082179774143874,0.6716329825197986
34,0.12123221473042806,0.5476413815473418,1.1998385521555541,0.6373982369232135
35,0.11244868584238667,0.42206126764956053,1.2731409488219652,0.5984410265600026
36,0.1238936967045927,0.3355519802473596,1.3103814914386174,0.23730066966129357
37,0.15269236165060182,0.2880989991568816,1.3167349718730508,0.09409716154276651
38,0.2047300931839385,0.26920646537289306,1.2996209129097755,0.037312502677756224
39,0.28499516203815733,0.2666979794878008,1.2621798143598626,0.0147955950679303
40,0.39453910596146,0.27224468329519586,1.1990957540786564,0.005866920503829314
41,0.5284540544413323,0.28297798169437216,1.102437197394654,0.002326418607707866
42,0.6760298393213727,0.30011283805639627,0.973082083953261,0.0009224985175849888
43,0.8221672948306717,0.3275330974871957,0.8259006139776334,0.00036580015440647963
44,0.9488948980808188,0.37096805926210275,0.6818702636620618,0.0001450513023030143
45,1.037825359983086,0.43735021856759726,0.557295041512008,5.7517328899025445e-05
46,1.0750948773259636,0.5337209595786685,0.4600281568351053,2.2807413289124217e-05
47,1.0572608120914369,0.6651366555144548,0.3915178710412888,9.043842859040149e-06
