Time,LHYm,P97m,P51m,ELm
0,1.040796963481011,0.5157512886498455,0.48658543086135564,8.826898400213645e-06
1,0.9813192465212583,1.2698143604805312,0.39526802080440876,0.11264979383008727
2,0.8119783899354427,1.6718765209375566,0.33006819492186285,0.14400490811420527
3,0.6452589123205075,1.9617786733164728,0.30810034643745676,0.1711078210387226
4,0.5057192925157232,2.1860819547440595,0.3308540013217899,0.21761060946458421
5,0.3944512544627545,2.2838508635396106,0.39883394587618587,0.29436786565080814
6,0.3077393101902233,2.20026857453386,0.511586125641303,0.40458756928208206
7,0.24089497714500002,1.931635759294042,0.6628195579752577,0.5323204048674336
8,0.18990159438631626,1.57552149307574,0.8359675935818243,0.6333914741866664
9,0.1517749654061824,1.2342696942929423,1.0056052606486563,0.670168196005752
10,0.12407083096489521,0.9475491790650656,1.146778111931228,0.6533926692961548
11,0.10490088313432816,0.7201625117018505,1.2460169160022183,0.6171203641243245
12,0.09286259862186971,0.5436168683762077,1.3044411286673445,0.5839990309727237
13,0.09621978998558793,0.4197736864524979,1.331218185553094,0.23157396465240612
14,0.11161039632059792,0.34577443895530796,1.3333244040689838,0.0918263453157942
15,0.1434490696521931,0.3078134609089652,1.3202550458312658,0.036412052098948836
16,0.19668705937237813,0.2914337827429525,1.2969834599749719,0.014438537484132246
17,0.275036435534899,0.2862499739530594,1.2607580407843635,0.005725335875940736
18,0.37892175787666516,0.2872601579846765,1.2025320778235886,0.002270274656707115
19,0.5042447355076817,0.2934356342356011,1.1129406448630288,0.000900235818726361
20,0.6424031218066282,0.3063640227705024,0.9915640896820413,0.0003569714589986081
21,0.7809538596314936,0.32954971989649084,0.8510001645554615,0.00014155066265962406
22,0.9043718114055029,0.36803907370859884,0.7104070363647467,5.6129309753108326e-05
23,0.9957592378951413,0.42802062511452965,0.5859163459610499,2.225699681413352e-05
24,1.040975849433946,0.5159672864245564,0.48634714293433495,8.825585241346324e-06
25,0.9813604227914813,1.27047534086754,0.3950908303780382,0.11260598409958106
26,0.8119518524532715,1.6727484032898987,0.32994866999525424,0.14396773939004395
27,0.6452068737540559,1.962754895651584,0.3080266943379108,0.17108668035098673
28,0.5056602309161933,2.187067892259536,0.33081884768590125,0.21760931167502406
29,0.39439329836635395,2.2847286760830796,0.3988356145546401,0.29439227412472335
30,0.3076857706078553,2.2009447075156623,0.5116256622543952,0.40464299144198324
31,0.24084704392365053,1.9320945279901267,0.6628952823391807,0.5323983973413341
32,0.189859261034967,1.5758137014813853,0.8360698624276661,0.6334603484225161
33,0.15173741816402608,1.2344536988948358,1.0057164125548925,0.6702018895747881
34,0.12403694189566168,0.9476665470668774,1.1468795330016104,0.6533957660249725
35,0.10486943987106588,0.7202388593483466,1.2460973538760365,0.6171097444533464
36,0.09283240372648517,0.5436675624882144,1.304499065688755,0.5839867232204377
37,0.09618629861216782,0.4198070669023929,1.3312553786910757,0.23156908424188444
38,0.11157003398058836,0.3457950897331444,1.3333479316274564,0.09182441008151224
39,0.1433976324219918,0.30782469899332043,1.3202749512277643,0.03641128471825898
40,0.19662057534954644,0.29143831380701196,1.297009515643494,0.014438233194171831
41,0.2749527127904288,0.286249598305951,1.2608000911580128,0.005725215215332379
42,0.37882188728590394,0.2872553998755408,1.2025991098896684,0.002270226809455775
43,0.504133718385364,0.29342562465627026,1.1130359222946178,0.0009002168457851787
44,0.6422895966555211,0.30634653443445053,0.9916802017650782,0.00035696393629840536
45,0.7808495092785599,0.3295212889980783,0.8511214602630142,0.00014154767957966384
46,0.9042903498465924,0.36799521422051124,0.7105179027297658,5.612812701752471e-05
47,0.9957137843000846,0.4279563057849128,0.5860069604239455,2.225652782223043e-05
