Time,LHYm,P97m,P51m,ELm
0,1.0502185509397284,0.9341628337755714,0.29820361717821986,8.466834728798782e-06
1,0.8678175507134218,1.8345794411487264,0.27464223811261984,0.09792387080732987
2,0.6806702291294326,2.0035839826594093,0.2697078062002957,0.1455237247688793
3,0.5271869817940056,2.004829024431784,0.29863570373957715,0.19681410624533013
4,0.4073348658201082,1.8925704806510104,0.36804323638811937,0.27360843833255527
5,0.31547658177886784,1.6676652676264876,0.4811441110709362,0.3851765795857565
6,0.24604732337195542,1.379628214731767,0.6341054240233828,0.520547523800898
7,0.19447648363954317,1.091373020625588,0.8112210391746286,0.6345151308476673
8,0.1572893154925659,0.8422937377797498,0.9860551864096215,0.679890773177762
9,0.13205017204016523,0.6443043588268661,1.1317128855040617,0.6634321325171957
10,0.11730308119941685,0.49396316546929625,1.2331951869304847,0.623412106186192
11,0.11256052527216215,0.3827285543701777,1.2910205813483009,0.5862102687684208
12,0.11835109269730291,0.3017662593763845,1.31505806467857,0.560188578137015
13,0.14888743042385646,0.24830070427923626,1.3171229121465937,0.22213237199435656
14,0.20566185135702197,0.224264260951301,1.3000387807616847,0.08808245926036455
15,0.29699164168348835,0.2225005552106144,1.2617079100518407,0.034927482851119906
16,0.4268410766375946,0.23390358831547708,1.192848212491138,0.01384986460471738
17,0.5897519914396807,0.25266963500260586,1.0822432887528102,0.0054919076409828075
18,0.7698885541640211,0.27849741371668785,0.9328746781567734,0.0021777130523532805
19,0.944188087812332,0.3156309173098596,0.7674364604356922,0.0008635322100795076
20,1.0865660270191013,0.37132220337364086,0.6130690772405267,0.0003424176061478083
21,1.1733913545116017,0.4544712432302264,0.486656715508413,0.00013577940358789503
22,1.1914930114550348,0.5737386287938744,0.3933673476741915,5.3840801636005975e-05
23,1.1444029694234445,0.7344765588663317,0.33168423648240963,2.1349586313022802e-05
24,1.050072713073502,0.9350341150840554,0.2980189506405987,8.46579339383244e-06
25,0.867583182046434,1.8361097455877604,0.2745422670000102,0.0979277042182528
26,0.6804469203926219,2.0050594326619446,0.26968260073676414,0.1455562547628543
27,0.5269942184138259,2.0060346456859057,0.2986795518994052,0.19688753656283198
28,0.40717376993569454,1.8933961729247886,0.36815783399336366,0.27373644521335355
29,0.3153436247752336,1.6681207207037658,0.4813317830355232,0.3853655305711406
30,0.2459378327472888,1.3798214855944988,0.6343577617672158,0.5207644302874437
31,0.1943857740809126,1.091424083539764,0.8115101716947563,0.6346729891888789
32,0.15721310581378897,0.8422828556834889,0.9863383414347686,0.6799373704924343
33,0.1319846830603955,0.6442722975458076,1.1319513068846827,0.6634036975328682
34,0.11724501422144792,0.49392763043411636,1.233371548577299,0.6233629545334064
35,0.11250698596350879,0.38269634983028333,1.2911402662622016,0.5861695754240648
36,0.11829951691151085,0.30173941529536313,1.3151385036903034,0.5601644230040924
37,0.14883106538518873,0.24827850940334698,1.3171769572132532,0.22212279372522656
38,0.2055975616775898,0.2242444049373271,1.3000811513131354,0.08807866117866435
39,0.2969182127576932,0.22248121344234034,1.2617553463217395,0.03492597679248647
40,0.42676131193552647,0.23388352880617871,1.1929125200621538,0.013849267397618407
41,0.5896735807066666,0.25264739945546694,1.0823253440184732,0.005491670832399707
42,0.7698227224686383,0.27847073917389187,0.9329626608710526,0.002177619150837305
43,0.9441471703913705,0.3155967892781122,0.7675148405444574,0.0008634949754117182
44,1.086560541670449,0.37127725290828784,0.6131284186794347,0.00034240284137202555
45,1.1734260707018027,0.45441247052328454,0.4866949905058275,0.00013577354911420883
46,1.191563688056894,0.5736646500718637,0.39338655617816154,5.383848016329207e-05
47,1.1444973962581302,0.7343892196214235,0.33168733778941684,2.1348665762431912e-05
