Time,LHYm,P97m,P51m,ELm
0,0.9553802308392708,1.673587896149713,0.25819875805118003,0.08533916761641025
1,0.7523225851175656,1.8656388617893203,0.24452075284183733,0.12475845731425382
2,0.5839121157365609,1.930497175749897,0.2634828649460329,0.1670216269961823
3,0.45154844311435194,1.8990185018256927,0.3205827423676115,0.23195283593002353
4,0.34954318464123646,1.7417808489761373,0.41991468887779293,0.33064453151155054
5,0.2719770516233253,1.4861104881760199,0.5611032607779392,0.4617679339851353
6,0.2138787504045687,1.1984710918733337,0.7336224500570989,0.5937879252003384
7,0.171378989299084,0.9338686687981984,0.9146571907344222,0.6713176396856468
8,0.14166659896493028,0.7164840113049951,1.0759263401572965,0.6761658697998838
9,0.12292170498186743,0.5485047892272958,1.1966335816950404,0.6410414657547685
10,0.11428368314111564,0.422970282197182,1.2714862833107252,0.6004199975383119
11,0.11588072210538729,0.331006636092794,1.3077727007614115,0.5693516441433722
12,0.12890780316976358,0.26454325044904076,1.3168705705641368,0.5495296771010754
13,0.170281636502724,0.22168301706847662,1.3091371352639862,0.21790578283787895
14,0.24318723083625132,0.20528011860432063,1.2839998389299225,0.08640648491203134
15,0.3565317993665112,0.20934464162189376,1.2336764706663128,0.034262904386626894
16,0.5122491559638291,0.2259558589223951,1.1446289464579347,0.01358633728750957
17,0.6997172923410547,0.25057966456807884,1.009053626688603,0.005387394146097483
18,0.896251607553747,0.28436886977249975,0.841449192190221,0.002136272153711627
19,1.0722245867468554,0.3331616440719497,0.6723145174045759,0.000847099283508131
20,1.197616645367403,0.4057432371281921,0.5267014249209911,0.0003359016692952084
21,1.2508553103075055,0.5119530486129562,0.4152400723033001,0.0001331956045418767
22,1.2279911308820788,0.6598440994684356,0.3382064643980878,5.281624432859859e-05
23,1.1441665901902773,0.8518304391688991,0.2917352683793114,2.0943328235535038e-05
24,0.9539885446674649,1.676609261408682,0.25825633234472545,0.08548041983642053
25,0.7511428100799724,1.868328918781877,0.24476192310408804,0.12501864157431036
26,0.5829620373780877,1.932380667424328,0.26391216180796445,0.16742237446318103
27,0.4507982431538282,1.899682881315777,0.32122912913446494,0.23254301606772212
28,0.3489570549931923,1.7411442573880944,0.4208042565655292,0.3314598119180336
29,0.2715236936165186,1.4846846951496986,0.5622181801209781,0.46272203701158515
30,0.21353188570901013,1.196824407669224,0.7348646575683915,0.5945544321591406
31,0.1711203314736713,0.9324055193593292,0.9158568537403133,0.671584534334246
32,0.14148246620451493,0.7153187026878857,1.0769126099633926,0.6760262501872822
33,0.12280267588062559,0.547620280575137,1.1973176981713773,0.6407681181544106
34,0.11422445307554306,0.422310297706397,1.2718821039169528,0.6001790239223151
35,0.1158822088736752,0.3305182712160194,1.3079523458894395,0.5691895142739866
36,0.1289811662143598,0.2641895821784007,1.316908857951855,0.5494350134652096
37,0.17046123092596766,0.22142933745079166,1.3090824200370463,0.2178682457319449
38,0.24352536409653475,0.2050978019122897,1.2838658292621838,0.08639160027946237
39,0.35708651830842536,0.20921627089981332,1.23342358607031,0.03425700214780257
40,0.513057517616105,0.22587581963893147,1.1441814849154528,0.013583996853104867
41,0.7007641977043887,0.2505550779108924,1.0083810896189185,0.005386466090603555
42,0.8974534294911397,0.2844211103294804,0.8406313358965553,0.002135904154208187
43,1.0734332668435247,0.3333273341713845,0.6714855114462474,0.0008469533577368673
44,1.1986513139303827,0.40607304643997405,0.5259620903849178,0.00033584380813037225
45,1.251568099864627,0.5125045461093581,0.41463400972383896,0.00013317266038218742
46,1.2283327313324108,0.6606653961634645,0.33773832030966017,5.280714640730619e-05
47,1.1441925624917502,0.8529386616026379,0.291393066147688,2.0939720755960304e-05
