Time,LHYm,P97m,P51m,ELm
0,1.0093408508284285,1.01773956344726,0.44588777020046705,0.12031503100816357
1,0.8591642223757524,1.330348986975915,0.3577283822109434,0.14630080233399226
2,0.6980941932037652,1.6388450620428596,0.31687749471412147,0.16520871315832603
3,0.5564926819837117,1.9793726107976337,0.32200695124308154,0.20087005067248057
4,0.4398192908025145,2.2999577280472265,0.37123260925610957,0.2630583277853782
5,0.3455345191181788,2.3851996941237537,0.46385665691393796,0.3567461114885935
6,0.27148299399852227,2.2449925034588603,0.5967690280545084,0.47582087285931013
7,0.21400152678643086,1.925494046194634,0.7590077200169301,0.5896281736106047
8,0.17018510350535979,1.5577037692223317,0.9298070995122351,0.6545345637968393
9,0.13767767705878792,1.2248989480769361,1.0838358143700988,0.6594809509194756
10,0.11418013225396068,0.946947931022118,1.2019384627459093,0.6309861957776864
11,0.09805873259879566,0.7250027160142609,1.278617676312497,0.5969540750916512
12,0.08776437696848938,0.5480962497022461,1.3202378929934204,0.5705586799913588
13,0.0916468071876519,0.4220660910236065,1.3363421380935314,0.22624444320118908
14,0.10723978782639629,0.3465037690965172,1.3333103476413992,0.08971302406999304
15,0.13897408220353524,0.3074727885057867,1.319079006047249,0.03557405335172621
16,0.19188609371912854,0.2905175739105059,1.2967522720297922,0.014106244601425861
17,0.269866319578771,0.2851110657050399,1.262370189673091,0.005593571241076247
18,0.3735667326300638,0.2860347388371673,1.2061856417227546,0.0022180257909522275
19,0.49908419901635676,0.2920877204779669,1.1182594115722317,0.0008795174807387881
20,0.6379365582459391,0.3047559091423017,0.9976586079765417,0.0003487560340083226
21,0.7777373117427892,0.3274944051383064,0.8568189241533737,0.0001382929832239543
22,0.9029524230229934,0.365335267558133,0.7151765081051539,5.483754424042742e-05
23,0.9965420467038255,0.4244889430261438,0.5892993769070224,2.1744772991986982e-05
24,0.9947124452695162,0.9746633025308807,0.46664203424507744,0.1267110648252427
25,0.8531183324283792,1.2629918738990904,0.37306436803032345,0.15248404612663197
26,0.697915241285255,1.5602695376328153,0.3279510109425518,0.1700929810371876
27,0.5594128673352164,1.8919207146216492,0.3296491723481591,0.20419170521435553
28,0.44350973434999197,2.1621107478257473,0.3757055166673465,0.26437929496047946
29,0.3493572448118032,2.216262615980325,0.4651089470703904,0.35546105545670864
30,0.2751207089049718,2.0624241504834786,0.5947283958263649,0.47165583814022977
31,0.21805186872979512,1.7889866143018005,0.7538782815584848,0.583746671666736
32,0.17478015695209045,1.4683007255662524,0.9220856410132522,0.6492916953279562
33,0.14269151011849185,1.1667132895151033,1.0744869886763235,0.6563243890168596
34,0.11926085949499124,0.9049623030911621,1.192291810548622,0.6297060071525791
35,0.10303194080447285,0.6920442672802717,1.2698712027667818,0.5967529126522613
36,0.09309461981571039,0.5242634443646136,1.312939178489608,0.5707550785221426
37,0.09840404371615047,0.405518655648326,1.330776632122637,0.22632232138929442
38,0.11644324278175408,0.3351850227419694,1.3288854219336093,0.08974390513337333
39,0.15193376864974,0.2999404197372702,1.3143932544472237,0.03558629869529191
40,0.20998179522401225,0.28574302243056293,1.2898981699121614,0.014111100281151633
41,0.29407454212933465,0.2824374166480017,1.2507841480454973,0.005595496674301855
42,0.40392319107448155,0.2852007509570938,1.1870419281904239,0.002218789755205025
43,0.5343625893890169,0.293259951676834,1.0901663447159644,0.0008798204147162487
44,0.6756165240598887,0.30854955166380027,0.9624763186007734,0.00034887593642087146
45,0.814121588162513,0.3349689001064466,0.8191436102651737,0.00013834050293337234
46,0.9334713334330592,0.37795270212759896,0.6798417219844348,5.485633015519675e-05
47,1.0166251507464834,0.44397833051838675,0.5595161288506799,2.1752221545959212e-05
