Parameter_Value,CLm,P97m,P51m,ELm,Parameter,Source CSV,CLm_delta,P97m_delta,P51m_delta,ELm_delta,FoldChange
0.15940231,24,24,24,24,Am7,period_data_Am7.csv,0,0,0,0,0.289664383
0.17534254,24,24,24,24,Am7,period_data_Am7.csv,0,0,0,0,0.31863082
0.19287679,24,24,24,24,Am7,period_data_Am7.csv,0,0,0,0,0.350493894
0.21216447,24,24,24,24,Am7,period_data_Am7.csv,0,0,0,0,0.385543285
0.23338092,24,24,24,24,Am7,period_data_Am7.csv,0,0,0,0,0.424097619
0.25671901,24,24,24,24,Am7,period_data_Am7.csv,0,0,0,0,0.466507378
0.28239091,24,24,24,24,Am7,period_data_Am7.csv,0,0,0,0,0.513158114
0.31063,24,24,24,24,Am7,period_data_Am7.csv,0,0,0,0,0.564473923
0.341693,24,24,24,24,Am7,period_data_Am7.csv,0,0,0,0,0.620921316
0.3758623,24,24,24,24,Am7,period_data_Am7.csv,0,0,0,0,0.683013447
0.41344853,24,24,24,24,Am7,period_data_Am7.csv,0,0,0,0,0.751314792
0.45479339,24,24,24,24,Am7,period_data_Am7.csv,0,0,0,0,0.826446284
0.50027273,24,24,24,24,Am7,period_data_Am7.csv,0,0,0,0,0.909090914
0.5503,24,24,24,24,Am7,period_data_Am7.csv,0,0,0,0,1
0.60533,24,24,24,24,Am7,period_data_Am7.csv,0,0,0,0,1.1
0.665863,24,24,24,24,Am7,period_data_Am7.csv,0,0,0,0,1.21
0.7324493,24,24,24,24,Am7,period_data_Am7.csv,0,0,0,0,1.331
0.80569423,24,24,24,24,Am7,period_data_Am7.csv,0,0,0,0,1.4641
0.88626365,24,24,24,24,Am7,period_data_Am7.csv,0,0,0,0,1.610509995
0.97489002,24,24,24,24,Am7,period_data_Am7.csv,0,0,0,0,1.771561003
1.07237902,24,24,24,24,Am7,period_data_Am7.csv,0,0,0,0,1.9487171
1.17961692,24,24,24,24,Am7,period_data_Am7.csv,0,0,0,0,2.143588806
1.29757861,24.11111111,24.11111111,24.11111111,24,Am7,period_data_Am7.csv,0.111111111,0.111111111,0.111111111,0,2.357947683
1.42733648,24,24,24,24,Am7,period_data_Am7.csv,0,0,0,0,2.593742468
1.57007012,24,24,24,24,Am7,period_data_Am7.csv,0,0,0,0,2.8531167
1.72707714,24,24.11111111,24,24,Am7,period_data_Am7.csv,0,0.111111111,0,0,3.138428385
1.89978485,24,24,24,24,Am7,period_data_Am7.csv,0,0,0,0,3.452271216
2.08976333,23.88888889,24,24,24,Am7,period_data_Am7.csv,-0.111111111,0,0,0,3.797498328
2.29873967,24,24,24.11111111,24,Am7,period_data_Am7.csv,0,0,0.111111111,0,4.177248174
2.52861363,24,24,24,24,Am7,period_data_Am7.csv,0,0,0,0,4.594972978
2.781475,24,24,24,24,Am7,period_data_Am7.csv,0,0,0,0,5.054470289
3.0596225,24,24,24,24,Am7,period_data_Am7.csv,0,0,0,0,5.559917318
3.36558475,24,24,24,24,Am7,period_data_Am7.csv,0,0,0,0,6.11590905
3.70214322,24,24,24,24,Am7,period_data_Am7.csv,0,0,0,0,6.727499945
4.07235754,24,24,24,24,Am7,period_data_Am7.csv,0,0,0,0,7.400249936
4.4795933,24,24,24,24,Am7,period_data_Am7.csv,0,0,0,0,8.140274941
4.92755263,24,24,24,24,Am7,period_data_Am7.csv,0,0,0,0,8.954302435
5.42030789,24,24,24,24,Am7,period_data_Am7.csv,0,0,0,0,9.849732673
0.0392701,24,24,24,24,Ap3,period_data_Ap3.csv,0,0,0,0,0.101525595
0.04319711,24,24,24,24,Ap3,period_data_Ap3.csv,0,0,0,0,0.111678154
0.04751682,24,24,24,24,Ap3,period_data_Ap3.csv,0,0,0,0,0.122845967
0.0522685,24,24,24,24,Ap3,period_data_Ap3.csv,0,0,0,0,0.135130558
0.05749536,24,24.11111111,24.11111111,24,Ap3,period_data_Ap3.csv,0,0.111111111,0.111111111,0,0.14864364
0.06324489,24,24,24,24,Ap3,period_data_Ap3.csv,0,0,0,0,0.163507989
0.06956938,24,24,24,24,Ap3,period_data_Ap3.csv,0,0,0,0,0.17985879
0.07652632,24,24,24,24,Ap3,period_data_Ap3.csv,0,0,0,0,0.197844674
0.08417895,24,24,24,24,Ap3,period_data_Ap3.csv,0,0,0,0,0.217629137
0.09259684,24,24,24,24,Ap3,period_data_Ap3.csv,0,0,0,0,0.239392037
0.10185653,24,24,24,24,Ap3,period_data_Ap3.csv,0,0,0,0,0.263331256
0.11204218,24,24,24,24,Ap3,period_data_Ap3.csv,0,0,0,0,0.289664374
0.1232464,24,24,24,24,Ap3,period_data_Ap3.csv,0,0,0,0,0.318630817
0.13557104,24,24,24,24,Ap3,period_data_Ap3.csv,0,0,0,0,0.350493899
0.14912814,24,24,24,24,Ap3,period_data_Ap3.csv,0,0,0,0,0.385543278
0.16404096,24,24,24,24,Ap3,period_data_Ap3.csv,0,0,0,0,0.424097622
0.18044505,24,24,24,24,Ap3,period_data_Ap3.csv,0,0,0,0,0.466507368
0.19848956,24,24,24,24,Ap3,period_data_Ap3.csv,0,0,0,0,0.513158118
0.21833852,24,24,24,24,Ap3,period_data_Ap3.csv,0,0,0,0,0.56447394
0.24017237,24,24,24,24,Ap3,period_data_Ap3.csv,0,0,0,0,0.620921329
0.2641896,24,24,24,24,Ap3,period_data_Ap3.csv,0,0,0,0,0.683013444
0.29060856,24,24,24,24,Ap3,period_data_Ap3.csv,0,0,0,0,0.751314788
0.31966942,24,24,24,24,Ap3,period_data_Ap3.csv,0,0,0,0,0.826446277
0.35163636,24,24,24,24,Ap3,period_data_Ap3.csv,0,0,0,0,0.9090909
0.3868,24,24,24,24,Ap3,period_data_Ap3.csv,0,0,0,0,1
0.42548,24,24,24,24,Ap3,period_data_Ap3.csv,0,0,0,0,1.1
0.468028,24,24,24,24,Ap3,period_data_Ap3.csv,0,0,0,0,1.21
0.5148308,24,24,24,24,Ap3,period_data_Ap3.csv,0,0,0,0,1.331
0.56631388,24,24,24,24,Ap3,period_data_Ap3.csv,0,0,0,0,1.4641
0.62294527,24,24,24,24,Ap3,period_data_Ap3.csv,0,0,0,0,1.610510005
0.68523979,24,24,24,24,Ap3,period_data_Ap3.csv,0,0,0,0,1.771560988
0.75376377,24,24,24,24,Ap3,period_data_Ap3.csv,0,0,0,0,1.948717089
0.82914015,24,24,24,24,Ap3,period_data_Ap3.csv,0,0,0,0,2.143588806
0.91205417,24,24,24,24,Ap3,period_data_Ap3.csv,0,0,0,0,2.357947699
1.00325958,24,24,24,24,Ap3,period_data_Ap3.csv,0,0,0,0,2.593742451
1.10358554,24,24,24,24,Ap3,period_data_Ap3.csv,0,0,0,0,2.853116701
1.2139441,24,24,24,24,Ap3,period_data_Ap3.csv,0,0,0,0,3.138428387
1.33533851,24,24,24,24,Ap3,period_data_Ap3.csv,0,0,0,0,3.452271225
