Time,LHYm,P97m,P51m,ELm
0,1.1444704430445887,0.8520442707047647,0.29157729531389043,2.094076414851073e-05
1,0.9542431241576055,1.6780778765015534,0.25811649812440746,0.08543096763436349
2,0.7513136609734424,1.8703762714494583,0.24463387758362218,0.1249506144142922
3,0.5830640412168594,1.934395415736729,0.26378633600364393,0.16734098699461933
4,0.45085287799898327,1.9015181244686172,0.3211002718009814,0.23244953940461974
5,0.34897884093146564,1.742665014340514,0.42067485102566465,0.3313623715582471
6,0.27152205475523766,1.4858445566616025,0.5621004256354611,0.4626462700369299
7,0.21351088061465065,1.1975895006777633,0.7347780125850023,0.5945375842088206
8,0.1710834276660186,0.9328963044150604,0.9158192957103484,0.6716295111053664
9,0.1414289950888406,0.7156031309643167,1.0769295504770584,0.6760918600573496
10,0.12273332530320327,0.5477817096499686,1.1973799673037682,0.6408222743479766
11,0.11413686572609816,0.4223923835018571,1.271973525822529,0.6002149388764088
12,0.11577365327344988,0.33055298139950456,1.3080606067327005,0.569213005430008
13,0.12885202857972072,0.2642052790636733,1.3170304851992014,0.5494544399260206
14,0.17029456876245425,0.22143718364183013,1.309209709836145,0.21787594893406703
15,0.24330369611535052,0.20509771988171907,1.284007457735147,0.08639465484013226
16,0.35679637156333016,0.20920667034103332,1.2336119633410008,0.034258213379450835
17,0.5126998575386889,0.22585324851694533,1.1444490442446118,0.013584477145123555
18,0.7003625414816734,0.2505128329984679,1.0087244816129008,0.005386656541325066
19,0.8970540813556533,0.2843480632304947,0.841000988098798,0.002135979672864676
20,1.0730982798533846,0.33320780191858745,0.6718234040514163,0.0008469833042575627
21,1.1984421902325826,0.40588796226124957,0.5262347884001253,0.0003358556816453624
22,1.25152020440781,0.5122351185266649,0.4148335686414705,0.00013317736878194726
23,1.228436978321059,0.6603000756749501,0.3378701312830875,5.2809013358126334e-05
24,1.1444036866848688,0.8524814305663466,0.2914659372284714,2.0940460992837493e-05
25,0.9541272468835915,1.6791164574699247,0.25805211563880703,0.08542922146187129
26,0.7511898924154047,1.8713255977335324,0.24460879198594332,0.12496076844218605
27,0.5829523058386659,1.9352634604746135,0.2637964962649368,0.1673696682705348
28,0.4507567056858937,1.9022152639452727,0.32114679675778085,0.23250468373037864
29,0.34889793752312515,1.7431758605774899,0.42076116639757916,0.33145179836863564
30,0.27145573378701837,1.4862846034258468,0.5622263073820226,0.46276459753878646
31,0.21345751795536563,1.1979978864255796,0.7349326746062447,0.5946459891345082
32,0.1710383076565416,0.933214536205832,0.9159806480305684,0.6716812736179754
33,0.14138990043848904,0.7158599978550576,1.0770737945148512,0.6760894508896172
34,0.12269575863434388,0.5479797627262881,1.1974928374075064,0.6407974051260058
35,0.11409795684023745,0.42254938996415353,1.2720549412024067,0.6001906154574967
36,0.11572541461691108,0.33066834647049764,1.3081202515527495,0.5691980741341909
37,0.12878595857372302,0.26428489399320665,1.3170827925510695,0.549450722638447
38,0.17019535079363995,0.22149153053433243,1.309263546498945,0.21787447491267833
39,0.2431544205583398,0.20513321018330452,1.2840766666635028,0.0863940703450307
40,0.3565807166449776,0.20922682129066228,1.2337229208269687,0.034257981613393385
41,0.512411303816189,0.2258586152552916,1.1446299859057383,0.013584385244809014
42,0.7000133103921773,0.2505000999164609,1.0089790771872431,0.0053866200999520605
43,0.8966779662260687,0.28430926652266914,0.8412940526139179,0.0021359652216944424
44,1.0727468366916721,0.33313021358848,0.6721067494852623,0.0008469775747427246
45,1.1981724722856053,0.4057548789685307,0.526476393906956,0.00033585340867633653
46,1.2513728132116668,0.5120286613365786,0.41502216269776915,0.00013317646761714576
47,1.2284170790983955,0.6600069344038431,0.3380069278956243,5.280865595966839e-05
