Time,LHYm,P97m,P51m,ELm
0,0.9850803192311844,1.0284088626352705,0.358043085401921,0.12980280648107467
1,0.8183223376292866,1.2950498900108336,0.2965534018677051,0.138490224432367
2,0.6637528990005014,1.6848339301651372,0.2811644526008788,0.16055439934163085
3,0.5296411643429623,2.1120385069357743,0.3069684871406041,0.20383503825297725
4,0.41700440884165396,2.321818367568411,0.37308615174384135,0.2747340757765485
5,0.32672070298607897,2.297018535590575,0.4802492185031582,0.37719824138778985
6,0.25602398431751894,2.052263325842699,0.6251712193214186,0.5012529352034335
7,0.2022410128781943,1.7296385686248175,0.7950347563698164,0.6101014348757077
8,0.16174712758860077,1.3888895248444817,0.9667514810699795,0.6618244857176679
9,0.13217501528639855,1.0902217890890942,1.1149931192130877,0.6559278591125852
10,0.11199703384606402,0.8533601694135602,1.2234251875005087,0.6233629324897261
11,0.09937464002391991,0.666477551580258,1.2900153021866922,0.5896363872902342
12,0.09267096225733511,0.5164142899478459,1.323408160200029,0.5650170044666177
13,0.09206906596699724,0.3996873725678452,1.3353433386146054,0.5503365630719037
14,0.0988679770759965,0.31197128666102897,1.335097353188756,0.5427945926117483
15,0.1270093345387806,0.25422550501156804,1.3260660269688522,0.21523511022539604
16,0.1789545975448981,0.226950450657594,1.3071157680249121,0.08534748040535721
17,0.26321105410524814,0.22261958958960673,1.2745682971554926,0.03384297726145621
18,0.3850868612552177,0.23187999528517747,1.2170241958064478,0.013419821934766384
19,0.5415757521127739,0.24839642863051187,1.1195708923986976,0.005321384105876063
20,0.7195260306881778,0.27114199941998623,0.9791730443043948,0.0021100952203849297
21,0.8980073483441479,0.30365763897656733,0.8146415940411978,0.0008367197254661393
22,1.0519577110440776,0.35262404879390724,0.6543891304128681,0.0003317857298100414
23,1.1024255645801293,0.7546072929609478,0.4972650985123819,0.12082101721683643
24,0.9761831102100343,0.9623023376472328,0.3766207338174748,0.13674289338515697
25,0.816951565974862,1.184501927499915,0.30960337677879973,0.14376767630666573
26,0.6666917860504348,1.4851256963969057,0.29010744399490535,0.1641989324296188
27,0.5362662068092141,1.8470470797808505,0.31238378467563005,0.2055643106511182
28,0.42609762646478977,2.0734414005068977,0.3745005428063457,0.27340189363169926
29,0.3368790883067937,2.1100533424943935,0.4763538531536087,0.37096358321188166
30,0.26694050180492607,1.9788534377222424,0.6145913366654525,0.489307266995688
31,0.21340210304953214,1.7384735811100067,0.7774003235930929,0.5956550604172652
32,0.1724716716576494,1.4334279645563501,0.943842605615903,0.6509000202256006
33,0.14185286806631794,1.1397151707912492,1.0906153473199767,0.6510678315383404
34,0.1204177666097545,0.8975622837335633,1.2015569826457453,0.6229555586601122
35,0.10642377759222059,0.7023289824307363,1.2729148555449508,0.5912192992066883
36,0.09870544282114772,0.5465520684448527,1.3112910043164185,0.5669362442392456
37,0.09653211271009347,0.42206683295649894,1.3272057268329251,0.5518303305276164
38,0.1015672172533209,0.32795710183394033,1.3297941189230722,0.5437238775701596
39,0.12779312417551006,0.2657097104310013,1.3230510864140146,0.2156036009089606
40,0.17689011886250175,0.23532304317063665,1.305886562200701,0.08549359841673759
41,0.256958139667728,0.22882704341053658,1.2750957359616997,0.03390091768608518
42,0.3732413616329457,0.23648359626328003,1.2204560835127722,0.013442797458044282
43,0.5233239274080627,0.25163330278607154,1.1278085023401532,0.005330494425497827
44,0.6952414266448042,0.27293065362326935,0.992969495427763,0.00211370765316021
45,0.8695103207326209,0.3035606380246633,0.8323385596622178,0.0008381521362183362
46,1.0224403986904596,0.3498148756163596,0.6731325523446299,0.00033235377184267714
47,1.0783053132204234,0.7398616647938256,0.5139395312836832,0.12716188246729201
